City,CloseDate,EntityIDRoundID,IndustryCode,Industry Group,Industry Segment,Metropolitan Statistical Area,PrimaryRegion,RoundBusStat,RoundClassDescr,State,Subregion,Deals,Number of Deals,Raised,13353.92218,,
Foxboro,3/29/2011,1.12763E+11,Entertainment,Rockingham County,Consumer Information Services,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Nottingham,NH,Boston Metro,66,1,4911,4.911,,6.6
Salt Lake City,3/29/2011,4.70648E+11,Educational/Training Media and Services,Grafton County,Media and Content,"Salt Lake City, UT",Mountain,Product Development,Woodstock,NH,,11,1,290,0.29,,1.1
Seattle,3/29/2011,6.07482E+11,Online Communities,Merrimack County,Consumer Information Services,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Product Development,Concord,NH,Seattle Metro,3339,1,32402,32.402,,333.9
Berkeley,3/29/2011,6.12827E+11,Utilities: Other,Merrimack County,Utilities,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,Concord,NH,San Francisco Bay Area,1128,1,16144,16.144,,112.8
San Diego,3/29/2011,6.15161E+11,Biotechnology Therapeutics,Merrimack County,Biopharmaceuticals,"San Diego-Carlsbad-San Marcos, CA",Southern California,Clinical Trials - Generic,Bow,NH,San Diego Metro,269,1,7718,7.718,,26.9
San Francisco,3/29/2011,90641758228,Clinical Decision Support,Merrimack County,Medical Software and Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Loudon,NH,San Francisco Bay Area,428,1,5403,5.403,,42.8
Rockville,3/29/2011,74749757874,Consumer Electronics,Cheshire County,Electronics and Computer Hardware,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Generating Revenue,Keene,NH,Potomac,2846,1,25537,25.537,,284.6
Boston,3/29/2011,6.11822E+11,Business Applications Software,Hillsborough County,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Antrim,NH,Boston Metro,359,1,2673,2.673,,35.9
San Carlos,3/30/2011,6.13074E+11,Automotive Parts,Hillsborough County,Vehicles and Parts,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,Bennington,NH,San Francisco Bay Area,61,1,1411,1.411,,6.1
Chicago,3/30/2011,6.12888E+11,Shopping Facilitators,Cheshire County,Consumer Information Services,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Generating Revenue,Dublin,NH,Chicago Metro,76,1,1479,1.479,,7.6
San Diego,3/30/2011,94360758136,Pharmaceuticals,Cheshire County,Biopharmaceuticals,"San Diego-Carlsbad-San Marcos, CA",Southern California,Clinical Trials - Phase 3,Swanzey,NH,San Diego Metro,785,1,5892,5.892,,78.5
Azusa,3/30/2011,6.13027E+11,Diagnostic Equipment (Not Imaging),Cheshire County,Medical Devices and Equipment,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Fitzwilliam,NH,Los Angeles Metro,137,1,2307,2.307,,13.7
Cupertino,3/30/2011,98415758062,Business Applications Software,Hillsborough County,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Hancock,NH,San Francisco Bay Area,83,1,1861,1.861,,8.3
Williamsport,3/31/2011,6.13249E+11,Environmental Engineering/Services,Cheshire County,Construction and Civil Engineering,"Williamsport, PA",Mid-Atlantic,Generating Revenue,Harrisville,NH,,51,1,913,0.913,,5.1
Roeland Park,3/31/2011,6.13034E+11,Advertising/Marketing,Cheshire County,Business Support Services,"Kansas City, MO-KS",Midwest Central,Product Development,Hinsdale,NH,,379,1,3978,3.978,,37.9
Boston,3/31/2011,6.13184E+11,Advertising/Marketing,Cheshire County,Business Support Services,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Jaffrey,NH,Boston Metro,729,1,5314,5.314,,72.9
San Francisco,3/31/2011,6.08259E+11,Advertising/Marketing,Cheshire County,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Marlborough,NH,San Francisco Bay Area,194,1,2149,2.149,,19.4
Oldsmar,3/31/2011,6.13174E+11,Advertising/Marketing,Cheshire County,Business Support Services,"Tampa-St. Petersburg-Clearwater, FL",South East,Generating Revenue,Nelson,NH,,76,1,675,0.675,,7.6
Orange,3/31/2011,6.12929E+11,Data Management Services,Hillsborough County,Business Support Services,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Peterborough,NH,Orange County,446,1,6790,6.79,,44.6
Conshohocken,3/31/2011,63945757878,Advertising/Marketing,Cheshire County,Business Support Services,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Generating Revenue,Rindge,NH,,482,1,6005,6.005,,48.2
New York,3/31/2011,3.58676E+11,Payment/Transactional Processing,Cheshire County,Financial Institutions and Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Stoddard,NH,New York Metro,52,1,1093,1.093,,5.2
Eldersburg,3/31/2011,6.13019E+11,Data Management Services,Cheshire County,Business Support Services,"Baltimore-Towson, MD",Mid-Atlantic,Generating Revenue,Troy,NH,Potomac,107,1,2182,2.182,,10.7
Redwood City,3/31/2011,2.30033E+11,Advertising/Marketing,Cheshire County,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Westmoreland,NH,San Francisco Bay Area,107,1,1779,1.779,,10.7
Sunnyvale,3/31/2011,1.10829E+11,Advertising/Marketing,Cheshire County,Business Support Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Winchester,NH,San Francisco Bay Area,471,1,5203,5.203,,47.1
Redwood City,3/31/2011,1.05854E+11,Security Services,Grafton County,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Product In Beta Test,Littleton,NH,San Francisco Bay Area,922,1,5916,5.916,,92.2
Medford,3/31/2011,3.54843E+11,Facilities/Operations Management,Coos County,Business Support Services,"Medford, OR",Pacific Northwest,Generating Revenue,Berlin,NH,,1644,1,10273,10.273,,164.4
Winston-Salem,3/31/2011,1.83304E+11,Security Services,Grafton County,Business Support Services,"Winston-Salem, NC",South East,Generating Revenue,Bethlehem,NH,,311,1,2545,2.545,,31.1
Sebastopol,3/31/2011,96889755569,Environmental Engineering/Services,Coos County,Construction and Civil Engineering,"Santa Rosa-Petaluma, CA",Northern California,Generating Revenue,Colebrook,NH,San Francisco Bay Area,447,1,3003,3.003,,44.7
San Francisco,3/31/2011,3.60212E+11,Insurance,Grafton County,Financial Institutions and Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Franconia,NH,San Francisco Bay Area,52,1,1398,1.398,,5.2
Austin,3/31/2011,2.28423E+11,Advertising/Marketing,Coos County,Business Support Services,"Austin-Round Rock, TX",South Central,Generating Revenue,Gorham,NH,Austin Metro,161,1,3041,3.041,,16.1
Boulder,3/31/2011,6.13173E+11,Advertising/Marketing,Coos County,Business Support Services,"Boulder, CO",Mountain,Product Development,Stark,NH,,225,1,2503,2.503,,22.5
Cambridge,3/31/2011,6.12944E+11,Project/Document Collaboration,Coos County,Business Support Services,"Boston-Cambridge-Quincy, MA-NH",New England,Startup,Jefferson,NH,Boston Metro,71,1,1001,1.001,,7.1
San Francisco,3/31/2011,6.13113E+11,Advertising/Marketing,Coos County,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Lancaster,NH,San Francisco Bay Area,288,1,3726,3.726,,28.8
Boston,3/31/2011,3.54465E+11,Non-Durable Household Goods,Grafton County,Household and Office Goods,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Lisbon,NH,Boston Metro,274,1,2683,2.683,,27.4
Irvington,3/31/2011,1.15351E+11,Educational/Training Media and Services,Coos County,Media and Content,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Milan,NH,New York Metro,151,1,1578,1.578,,15.1
Santa Monica,3/31/2011,1.16007E+11,Consumer Information Services: Other,Coos County,Consumer Information Services,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Stratford,NH,Los Angeles Metro,227,1,870,0.87,,22.7
New York,3/31/2011,6.13251E+11,Educational/Training Media and Services,Coos County,Media and Content,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Pittsburg,NH,New York Metro,98,1,1122,1.122,,9.8
Greenwood Village,3/31/2011,6.12967E+11,Shopping Facilitators,Coos County,Consumer Information Services,"Denver-Aurora-Broomfield, CO",Mountain,Generating Revenue,Whitefield,NH,,487,1,3195,3.195,,48.7
Danville,3/31/2011,6.13153E+11,Online Communities,Cheshire County,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Alstead,NH,San Francisco Bay Area,402,1,2749,2.749,,40.2
San Mateo,3/31/2011,6.13141E+11,Search Portals,Sullivan County,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Charlestown,NH,San Francisco Bay Area,620,1,5301,5.301,,62
San Jose,3/31/2011,3.58638E+11,Shopping Facilitators,Sullivan County,Consumer Information Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Lempster,NH,San Francisco Bay Area,68,1,864,0.864,,6.8
Lake Oswego,3/31/2011,6.13545E+11,Online Communities,Cheshire County,Consumer Information Services,"Portland-Vancouver-Beaverton, OR-WA",Pacific Northwest,Profitable,Walpole,NH,,46,1,2623,2.623,,4.6
Los Angeles,3/31/2011,6.14098E+11,Specialty Retailers,Grafton County,Retailers,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Bath,NH,Los Angeles Metro,50,1,689,0.689,,5
Hollywood,3/31/2011,3.53295E+11,Online Communities,Grafton County,Consumer Information Services,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Product In Beta Test,Canaan,NH,Los Angeles Metro,429,1,3968,3.968,,42.9
Fullerton,3/31/2011,6.1327E+11,Consumer Information Services: Other,Sullivan County,Consumer Information Services,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Product In Beta Test,Claremont,NH,Orange County,1727,1,13739,13.739,,172.7
Washington,3/31/2011,1.14699E+11,Online Communities,Sullivan County,Consumer Information Services,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Profitable,Cornish,NH,Potomac,163,1,1496,1.496,,16.3
San Francisco,3/31/2011,98414757890,Online Communities,Grafton County,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Enfield,NH,San Francisco Bay Area,200,1,4718,4.718,,20
San Francisco,3/31/2011,1.82537E+11,Health Media/Content,Sullivan County,Media and Content,"San Francisco-Oakland-Fremont, CA",Northern California,Product In Beta Test,Grantham,NH,San Francisco Bay Area,62,1,2952,2.952,,6.2
Roswell,3/31/2011,73175758983,Specialty Retailers,Grafton County,Retailers,"Atlanta-Sandy Springs-Marietta, GA",South East,Profitable,Hanover,NH,,784,1,10891,10.891,,78.4
Los Angeles,3/31/2011,99486758125,Shopping Facilitators,Grafton County,Consumer Information Services,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Haverhill,NH,Los Angeles Metro,22,1,564,0.564,,2.2
Burbank,3/31/2011,80468757771,Movie/Music Producers and Distributors,Grafton County,Media and Content,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Lebanon,NH,Los Angeles Metro,826,1,9275,9.275,,82.6
San Francisco,3/31/2011,6.06301E+11,Entertainment,Grafton County,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Lyme,NH,San Francisco Bay Area,42,1,1696,1.696,,4.2
San Francisco,3/31/2011,3.53963E+11,Shopping Facilitators,Sullivan County,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Newport,NH,San Francisco Bay Area,647,1,7611,7.611,,64.7
San Francisco,3/31/2011,3.57511E+11,General Media/Content,Grafton County,Media and Content,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Haverhill,NH,San Francisco Bay Area,70,1,2061,2.061,,7
Palo Alto,3/31/2011,6.07867E+11,General Media/Content,Grafton County,Media and Content,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Orford,NH,San Francisco Bay Area,135,1,1581,1.581,,13.5
Mountain View,3/31/2011,6.13235E+11,Search Portals,Sullivan County,Consumer Information Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Plainfield,NH,San Francisco Bay Area,34,1,1939,1.939,,3.4
Spokane,3/31/2011,92941757885,Fuel Cells,Sullivan County,Renewable Energy,"Spokane, WA",Pacific Northwest,Generating Revenue,Sunapee,NH,,186,1,3038,3.038,,18.6
Lake Forest,3/31/2011,3.59266E+11,Water Utilities,Grafton County,Utilities,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Profitable,Lebanon,NH,Orange County,790,1,4100,4.1,,79
Palo Alto,3/31/2011,3.55896E+11,Drug Development Technologies,Rockingham County,Biopharmaceuticals,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Portsmouth,NH,San Francisco Bay Area,1454,1,22463,22.463,,145.4
San Francisco,3/31/2011,6.14097E+11,Biotechnology Therapeutics,Belknap County,Biopharmaceuticals,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,Alton,NH,San Francisco Bay Area,307,1,3470,3.47,,30.7
Menlo Park,3/31/2011,6.14093E+11,Pharmaceuticals,Belknap County,Biopharmaceuticals,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,Alton,NH,San Francisco Bay Area,0,1,1882,1.882,,0
Pittsburgh,3/31/2011,92761759307,Medical/Lab Services,Rockingham County,Healthcare Services,"Pittsburgh, PA",Mid-Atlantic,Profitable,Atkinson,NH,,147,1,6751,6.751,,14.7
Golden,3/31/2011,6.05135E+11,Therapeutic Devices (Invasive),Carroll County,Medical Devices and Equipment,"Denver-Aurora-Broomfield, CO",Mountain,Product Development,Bartlett,NH,,55,1,553,0.553,,5.5
Fremont,3/31/2011,56024758330,Surgical Devices,Carroll County,Medical Devices and Equipment,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Conway,NH,San Francisco Bay Area,195,1,2629,2.629,,19.5
Georgetown,3/31/2011,84285758139,Biotechnology Therapeutics,Carroll County,Biopharmaceuticals,"Austin-Round Rock, TX",South Central,Generating Revenue,Ossipee,NH,Austin Metro,532,1,2344,2.344,,53.2
Nashville,3/31/2011,4.7119E+11,Inpatient Facilities,Carroll County,Healthcare Services,"Nashville-Davidson-Murfreesboro, TN",South East,Generating Revenue,Tuftonboro,NH,,106,1,1336,1.336,,10.6
Moorestown,3/31/2011,6.09475E+11,Healthcare Administration Software,Carroll County,Medical Software and Information Services,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Generating Revenue,Conway,NH,,699,1,4046,4.046,,69.9
Pittsburgh,3/31/2011,1.10581E+11,Therapeutic Devices (Invasive),Rockingham County,Medical Devices and Equipment,"Pittsburgh, PA",Mid-Atlantic,Product Development,Danville,NH,,175,1,4479,4.479,,17.5
Brookfield,3/31/2011,4.70658E+11,Clinical Decision Support,Strafford County,Medical Software and Information Services,"Milwaukee-Waukesha-West Allis, WI",Midwest East,Generating Revenue,Dover,NH,,3223,1,30938,30.938,,322.3
Woburn,3/31/2011,3.56023E+11,Drug Development Technologies,Strafford County,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Clinical Trials - Phase 2,Madbury,NH,Boston Metro,33,1,1869,1.869,,3.3
Dallas,3/31/2011,6.0952E+11,Managed Care,Strafford County,Healthcare Services,"Dallas-Fort Worth-Arlington, TX",South Central,Generating Revenue,Durham,NH,Dallas-Fort Worth,2046,1,16148,16.148,,204.6
Redwood City,3/31/2011,85138757367,Basic Chemicals,Strafford County,Materials and Chemicals,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Barrington,NH,San Francisco Bay Area,429,1,9006,9.006,,42.9
New York,3/31/2011,6.13269E+11,Multimedia/Streaming Software,Rockingham County,Software,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,East Hampstead,NH,New York Metro,99,1,2283,2.283,,9.9
Arlington,3/31/2011,6.13036E+11,Vertical Market Applications Software,Rockingham County,Software,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Generating Revenue,East Kingston,NH,Potomac,125,1,3227,3.227,,12.5
Minneapolis,3/31/2011,6.13118E+11,Multimedia/Streaming Software,Carroll County,Software,"Minneapolis-St. Paul-Bloomington, MN-WI",Midwest Central,Generating Revenue,Wakefield,NH,,140,1,2205,2.205,,14
Orem,3/31/2011,6.13231E+11,Database Software,Rockingham County,Software,"Provo-Orem, UT",Mountain,Generating Revenue,Exeter,NH,,1064,1,21679,21.679,,106.4
Waltham,3/31/2011,6.13058E+11,Multimedia/Streaming Software,Strafford County,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Farmington,NH,Boston Metro,546,1,6834,6.834,,54.6
Alamo,3/31/2011,6.0543E+11,Business Applications Software,Carroll County,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Freedom,NH,San Francisco Bay Area,112,1,1314,1.314,,11.2
San Mateo,3/31/2011,6.13247E+11,Business Applications Software,Belknap County,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Gilmanton,NH,San Francisco Bay Area,95,1,1658,1.658,,9.5
Mountain View,3/31/2011,6.13077E+11,Communications Software,Carroll County,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Bartlett,NH,San Francisco Bay Area,55,1,1033,1.033,,5.5
Mountain View,3/31/2011,6.13125E+11,Database Software,Strafford County,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Rochester,NH,San Francisco Bay Area,411,1,3863,3.863,,41.1
San Francisco,3/31/2011,6.13215E+11,Communications Software,Rockingham County,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,Greenland,NH,San Francisco Bay Area,103,1,4011,4.011,,10.3
